File created: 2023-04-30 16:37:10
<f> value applied = 5.5
Object,"Right Ascension",Declination,Redshift,"log M_BH","+err(log M_BH)","-err(log M_BH)"
NGC4151,12:10:32.6,+39:24:21,0.00332,7.4812246351966,0.026688303729639,0.03162626776198
PG1211+143,12:14:17.7,+14:03:13,0.0809,NAN,NAN,NAN
Mrk202,12:17:55.0,+58:39:35,0.02102,6.2399236849933,0.16597080747951,0.17300144144141
NGC4253,12:18:26.5,+29:48:46,0.01293,6.929206206761,0.050096068294932,0.056964587121699
Mrk50,12:23:24.1,+02:40:45,0.02343,7.6583560370808,0.052208401343545,0.062669406816753
NGC4395,12:25:48.8,+33:32:49,0.00106,5.5561344539344,0.12991791469596,0.14457147108966
PG1226+023,12:29:06.7,+02:03:09,0.15834,8.9457611904406,0.077049791852021,0.11301192059864
PG1229+204,12:32:03.6,+20:09:29,0.06301,7.8653703306618,0.17513560666654,0.21882809396507
NGC4593,12:39:39.4,-05:20:39,0.009,7.018505638384,0.069321169714962,0.068302518849069
WAS61,12:42:10.6,+33:17:03,0.043513,NAN,NAN,NAN
PG1247+267,12:50:05.7,+26:31:08,2.038,NAN,NAN,NAN
NGC4748,12:52:12.4,-13:24:53,0.01463,6.5141186737658,0.11036762579674,0.18319400206612
PG1307+085,13:09:47.0,+08:19:48,0.155,8.6437522874833,0.093736643259062,0.16119497330454
MCG-06-30-15,13:35:53.7,-34:17:44,0.00749,6.4023371384728,0.15740467028775,0.23696448245972
NGC5273,13:42:08.3,+35:39:15,0.003619,6.7666215330154,0.12530730611581,0.1904691427569
IC4329A,13:49:19.2,-30:18:34,0.01605,NAN,NAN,NAN
Mrk279,13:53:03.4,+69:18:30,0.03045,7.5417042933178,0.099307538851626,0.13286788915097
PG1411+442,14:13:48.3,+44:00:14,0.0896,8.6462964516249,0.12517883713982,0.16888912577201
NGC5548,14:17:59.5,+25:08:12,0.01718,7.7986789529769,0.015835865187952,0.016101305522174
SBS1425+606,14:26:56.2,+60:25:51,3.19716,NAN,NAN,NAN
PG1426+015,14:29:06.6,+01:17:06,0.08657,9.1138068991365,0.10574975489297,0.16381135710815
Mrk817,14:36:22.1,+58:47:39,0.03146,7.6930557932775,0.06356107414147,0.071832073021486
NGC5940,15:31:18.1,+07:27:28,0.03393,7.1421447582906,0.067240852198705,0.07278062473342
Mrk290,15:35:52.3,+57:54:09,0.02958,7.3842485320194,0.06090863082718,0.060855406684664
Mrk486,15:36:38.3,+54:33:33,0.038934,NAN,NAN,NAN
Mrk493,15:59:09.6,+35:01:47,0.031328,NAN,NAN,NAN
PG1613+658,16:13:57.2,+65:43:10,0.129,8.4458222214362,0.16449640168194,0.27127563212555
PG1617+175,16:20:11.3,+17:24:28,0.11244,8.7737376932914,0.08371454230965,0.12782203505077
PG1700+518,17:01:24.8,+51:49:20,0.292,8.8925735274172,0.090871963747555,0.10313505930094
Arp102B,17:19:14.5,+48:58:49,0.024167,NAN,NAN,NAN
3C382,18:35:03.4,+32:41:47,0.05787,8.9543722424312,0.084465979866353,0.057526297028069
3C390.3,18:42:09.0,+79:46:17,0.0561,8.8175446093613,0.032513639744035,0.036187126958126
"1RXS J1858+4850",18:58:01.1,+48:50:23,0.079,6.8121913935823,0.067057326581281,0.080744986620871
Zw229-015,19:05:25.9,+42:27:40,0.02788,7.0200015122014,0.074918432771232,0.11949449935015
NGC6814,19:42:40.6,-10:19:25,0.00521,7.1448252697073,0.055853360642704,0.057735084301521
Mrk509,20:44:09.7,-10:43:25,0.0344,8.1558424019455,0.035054259463356,0.034690549949143
PG2130+099,21:32:27.8,+10:08:19,0.06298,7.5397946337299,0.055325637629994,0.063384413098389
NGC7469,23:03:15.6,+08:52:26,0.01632,7.0631439293731,0.048244766203076,0.049500255919569
