Object,"Right Ascension",Declination,Redshift,"log M_BH","+err(log M_BH)","-err(log M_BH)"
Mrk335,00:06:19.5,+20:12:10,0.02579,7.2301112487166,0.04168350502536,0.044078557164947
Mrk1501,00:10:31.0,+10:58:30,0.08934,8.0666340212884,0.11930876783407,0.16504565349853
PG0026+129,00:29:13.6,+13:16:03,0.142,8.4868203378724,0.095599160678452,0.11910148387398
PG0052+251,00:54:52.1,+25:25:38,0.15445,8.4617279122457,0.082766984065582,0.094246871139752
Fairall9,01:23:45.8,-58:48:21,0.04702,8.298946723557,0.078389165280745,0.1158826647363
Mrk590,02:14:33.5,-00:46:00,0.02639,7.5697305594379,0.061817384818286,0.074255406613547
Mrk1044,02:30:05.5,-08:59:53,0.016451,NAN,NAN,NAN
1H0323+342,03:24:41.1,+34:10:46,0.061,NAN,NAN,NAN
3C120,04:33:11.1,+05:21:16,0.03301,7.7446762628144,0.038459969230737,0.039917413231222
"IRAS 04416+1215",04:44:28.8,+12:21:12,0.0889,NAN,NAN,NAN
H0507+164,05:10:45.5,+16:29:56,0.017879,6.8758704193865,0.07378309441559,0.42400432020577
Ark120,05:16:11.4,-00:08:59,0.03271,8.0680222899781,0.0484926868477,0.063270402603242
MCG+08-11-011,05:54:53.6,+46:26:22,0.02048,7.2875262276629,0.046472303180182,0.053946477448874
Mrk6,06:52:12.2,+74:25:37,0.01881,8.1019355368272,0.037095244544409,0.040921100471703
Mrk374,06:59:38.1,+54:11:48,0.04263,7.2483938995888,0.19197350828293,0.32230266238734
Mrk79,07:42:32.8,+49:48:35,0.02219,7.611874989336,0.10740143116922,0.13588668256634
"SDSS J074352+271240",07:43:52.0,+27:12:40,0.252,7.9119796407206,0.051541583462253,0.048120484519036
"SDSS J075051+245409",07:50:51.1,+24:54:09,0.4004,7.2231746068113,0.12296933232309,0.1103983527338
"SDSS J075101+291419",07:51:01.4,+29:14:19,0.1209,7.3687260634424,0.09573597151694,0.14332987953171
Mrk382,07:55:25.3,+39:11:10,0.033687,NAN,NAN,NAN
"SDSS J075949+320024",07:59:49.5,+32:00:24,0.1879,7.1990430697433,0.16121157244022,0.20210560752687
PG0804+761,08:10:58.6,+76:02:43,0.1,8.7348181918126,0.0475773569843,0.052782661922246
"SDSS J081441+212919",08:14:41.9,+21:29:19,0.1626,7.5065963295712,0.22796934901169,0.48336830014347
APM08279+5255,08:31:41.7,+52:45:18,3.9122,9.8693991458772,0.1302056517396,0.12327493595774
NGC2617,08:35:38.8,-04:05:18,0.01421,6.9342388292048,0.11301115844326,0.17593376917813
"SDSS J083553+055317",08:35:53.4,+05:53:17,0.20512,7.1997777295308,0.15720341238927,0.24884560975622
"S5 0836+71",08:41:24.3,+70:53:42,2.172,NAN,NAN,NAN
"SDSS J084533+474935",08:45:33.3,+47:49:35,0.30237,7.3256555824145,0.13582643283669,0.095084815618091
PG0844+349,08:47:42.4,+34:45:04,0.064,7.8583088550647,0.15431236438206,0.22981931295388
Mrk704,09:18:26.0,+16:18:19,0.02863,7.5648421389218,0.069636904982123,0.10353546995839
Mrk110,09:25:12.9,+52:17:11,0.03529,7.2924447734733,0.1014913840016,0.096988973688589
"SDSS J093302+385228",09:33:02.7,+38:52:28,0.17721,7.0489673631875,0.2315732721516,0.54109888266459
PG0934+013,09:37:01.0,+01:05:43,0.05034,6.4072715054733,0.11278939718527,0.15876974636029
PG0953+414,09:56:52.4,+41:15:22,0.2341,8.3333438617531,0.082362180630703,0.10752209695982
"SDSS J100402+285535",10:04:02.6,+28:55:35,0.3272,7.570177620901,0.37466607593039,0.13084389605724
"SDSS J101000+300322",10:10:00.7,+30:03:22,0.25643,7.6497319545901,0.27312914892227,0.18673204164453
NGC3227,10:23:30.6,+19:51:54,0.00386,6.6844060194741,0.081374656999242,0.10188282008254
Mrk142,10:25:31.3,+51:40:35,0.04494,6.293696749844,0.090245092842627,0.10384823332093
NGC3516,11:06:47.5,+72:34:07,0.00884,7.3986460802024,0.03576825226276,0.057669071721479
SBS1116+583A,11:18:57.7,+58:03:24,0.02787,6.5583379646847,0.080799902111337,0.0883333269021
SBS1116+603,11:19:14.3,+60:04:57,2.64146,NAN,NAN,NAN
Arp151,11:25:36.2,+54:22:57,0.02109,6.6722533181423,0.040934452309331,0.045904177360264
NGC3783,11:39:01.7,-37:44:19,0.00973,7.0792187026611,0.05387104295994,0.061761409556293
"SDSS J1139+3355",11:39:13.9,+33:55:51,0.032753,NAN,NAN,NAN
MCG+06-26-012,11:39:13.9,+33:55:51,0.032753,NAN,NAN,NAN
UGC06728,11:45:16.0,+79:40:53,0.00652,5.8581534541882,0.1910891194962,0.41801950951373
Mrk1310,12:01:14.3,-03:40:41,0.01956,6.2115659647516,0.071083893032704,0.088699344400427
NGC4051,12:03:09.6,+44:31:53,0.00234,5.8907226866257,0.084460394929994,0.14466471069256
NGC4151,12:10:32.6,+39:24:21,0.00332,7.3743304012819,0.02668830372964,0.03162626776198
PG1211+143,12:14:17.7,+14:03:13,0.0809,NAN,NAN,NAN
Mrk202,12:17:55.0,+58:39:35,0.02102,6.1330294510786,0.16597080747951,0.17300144144141
NGC4253,12:18:26.5,+29:48:46,0.01293,6.8223119728463,0.050096068294933,0.056964587121698
Mrk50,12:23:24.1,+02:40:45,0.02343,7.5514618031661,0.052208401343545,0.062669406816753
NGC4395,12:25:48.8,+33:32:49,0.00106,5.4492402200198,0.12991791469596,0.14457147108965
PG1226+023,12:29:06.7,+02:03:09,0.15834,8.838866956526,0.077049791852021,0.11301192059864
PG1229+204,12:32:03.6,+20:09:29,0.06301,7.7584760967472,0.17513560666654,0.21882809396507
NGC4593,12:39:39.4,-05:20:39,0.009,6.9116114044693,0.069321169714962,0.068302518849069
WAS61,12:42:10.6,+33:17:03,0.043513,NAN,NAN,NAN
PG1247+267,12:50:05.7,+26:31:08,2.038,NAN,NAN,NAN
NGC4748,12:52:12.4,-13:24:53,0.01463,6.4072244398512,0.11036762579674,0.18319400206612
PG1307+085,13:09:47.0,+08:19:48,0.155,8.5368580535686,0.09373664325906,0.16119497330454
MCG-06-30-15,13:35:53.7,-34:17:44,0.00749,6.2954429045582,0.15740467028775,0.23696448245972
NGC5273,13:42:08.3,+35:39:15,0.003619,6.6597272991008,0.12530730611581,0.1904691427569
IC4329A,13:49:19.2,-30:18:34,0.01605,NAN,NAN,NAN
Mrk279,13:53:03.4,+69:18:30,0.03045,7.4348100594031,0.099307538851625,0.13286788915097
PG1411+442,14:13:48.3,+44:00:14,0.0896,8.5394022177103,0.12517883713982,0.16888912577201
NGC5548,14:17:59.5,+25:08:12,0.01718,7.6917847190622,0.015835865187952,0.016101305522175
SBS1425+606,14:26:56.2,+60:25:51,3.19716,NAN,NAN,NAN
PG1426+015,14:29:06.6,+01:17:06,0.08657,9.0069126652219,0.10574975489297,0.16381135710815
Mrk817,14:36:22.1,+58:47:39,0.03146,7.5861615593629,0.06356107414147,0.071832073021485
NGC5940,15:31:18.1,+07:27:28,0.03393,7.035250524376,0.067240852198705,0.07278062473342
Mrk290,15:35:52.3,+57:54:09,0.02958,7.2773542981047,0.06090863082718,0.060855406684665
Mrk486,15:36:38.3,+54:33:33,0.038934,NAN,NAN,NAN
Mrk493,15:59:09.6,+35:01:47,0.031328,NAN,NAN,NAN
PG1613+658,16:13:57.2,+65:43:10,0.129,8.3389279875215,0.16449640168194,0.27127563212555
PG1617+175,16:20:11.3,+17:24:28,0.11244,8.6668434593768,0.083714542309652,0.12782203505077
PG1700+518,17:01:24.8,+51:49:20,0.292,8.7856792935025,0.090871963747555,0.10313505930095
Arp102B,17:19:14.5,+48:58:49,0.024167,NAN,NAN,NAN
3C382,18:35:03.4,+32:41:47,0.05787,8.8474780085165,0.084465979866353,0.057526297028069
3C390.3,18:42:09.0,+79:46:17,0.0561,8.7106503754466,0.032513639744035,0.036187126958126
"1RXS J1858+4850",18:58:01.1,+48:50:23,0.079,6.7052971596677,0.067057326581281,0.080744986620871
Zw229-015,19:05:25.9,+42:27:40,0.02788,6.9131072782868,0.074918432771232,0.11949449935015
NGC6814,19:42:40.6,-10:19:25,0.00521,7.0379310357926,0.055853360642703,0.057735084301521
Mrk509,20:44:09.7,-10:43:25,0.0344,8.0489481680308,0.035054259463356,0.034690549949143
PG2130+099,21:32:27.8,+10:08:19,0.06298,7.4329003998152,0.055325637629993,0.063384413098389
NGC7469,23:03:15.6,+08:52:26,0.01632,6.9562496954585,0.048244766203076,0.04950025591957
